stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
STA-BSGCOQL2,BSGCOQL2,LES COQUELICOTS,49.10567221,3.4041851,0,Europe/Paris,0
STA-CTLAFON1,CTLAFON1,LA FONTAINE,49.04427423,3.40159878,0,Europe/Paris,0
STA-CTVHUGO,CTVHUGO,VICTOR HUGO,49.04274907,3.40243492,0,Europe/Paris,0
STA-CHRMAIR1,CHRMAIR1,MAIRIE CHIERRY,49.03936835,3.43026021,0,Europe/Paris,0
STA-CTHOPI1,CTHOPI1,HOPITAL,49.0530769,3.41294719,0,Europe/Paris,0
STA-NOGBARO1,NOGBARO1,BARONNE,49.0203521,3.40495538,0,Europe/Paris,0
STA-CTMOUL2,CTMOUL2,J. MOULIN,49.04375895,3.39858731,0,Europe/Paris,0
STA-CTZCOM1,CTZCOM1,ZONE COMMERCIALE,49.03743533,3.39564492,0,Europe/Paris,0
STA-CTP&MCU1,CTP&MCU1,P&MCURRY,49.04313442,3.39542664,0,Europe/Paris,0
STA-ESSVAUX1,ESSVAUX1,ESS?MES VAUX,49.04490018,3.34899915,0,Europe/Paris,0
STA-CTBALL2,CTBALL2,BALLADE,49.06287196,3.38813719,0,Europe/Paris,0
STA-CTDOUM1,CTDOUM1,PDOUMER 1,49.04041722,3.4045546,0,Europe/Paris,0
STA-CTROST2,CTROST2,J.ROSTAND,49.05929134,3.38423661,0,Europe/Paris,0
STA-NOGMAIR1,NOGMAIR1,NOGENTEL MAIRIE,49.01448485,3.40144868,0,Europe/Paris,0
STA-CTPRAI2,CTPRAI2,PRAIRIE,49.03847951,3.39957329,0,Europe/Paris,0
STA-NELMAIR1,NELMAIR1,MAIRIE NESLE,49.01958001,3.42502206,0,Europe/Paris,0
STA-CTCLOS1,CTCLOS1,CLOS DES VIGNES,49.06059146,3.38196518,0,Europe/Paris,0
STA-ESMMAIR1,ESMMAIR1,MARIE ETAMPES1,49.03378664,3.41959025,0,Europe/Paris,0
STA-CTLAFON2,CTLAFON2,LA FONTAINE,49.0444939,3.4022977,0,Europe/Paris,0
STA-CTPOTER1,CTPOTER1,POTERNE,49.04462979,3.40388451,0,Europe/Paris,0
STA-CTJAURE2,CTJAURE2,J.JAURES,49.04595975,3.3935847,0,Europe/Paris,0
STA-CTROO2,CTROO2,ROOSEVELT,49.04374797,3.38402149,0,Europe/Paris,0
STA-ESSMONT1,ESSMONT1,PETIT MONTCOURT,49.02845619,3.36057626,0,Europe/Paris,0
STA-CTPETI1,CTPETI1,PETITS CHAMPS,49.05001615,3.39782058,0,Europe/Paris,0
STA-CTCHES1,CTCHES1,CHESNEAUX,49.05305175,3.39697924,0,Europe/Paris,0
STA-CTCLOS2,CTCLOS2,CLOS DES VIGNES,49.06059802,3.38226406,0,Europe/Paris,0
STA-CTGARE1,CTGARE1,GARE SNCF,49.03826014,3.40927522,0,Europe/Paris,0
STA-CTLALEX2,CTLALEX2,L'ALEXANDRIN,49.06224973,3.38408201,0,Europe/Paris,0
STA-CTPOSTE2,CTPOSTE2,POSTE,49.04414574,3.39927459,0,Europe/Paris,0
STA-ESMCOUV2,ESMCOUV2,COUVRECELLE,49.03644906,3.40926806,0,Europe/Paris,0
STA-ESSVAUX2,ESSVAUX2,ESS?MES VAUX,49.04488313,3.34902148,0,Europe/Paris,0
STA-BLMCOUR1,BLMCOUR1,COURBOIN,49.03919144,3.45037376,0,Europe/Paris,0
STA-CTBRIA1,CTBRIA1,A. BRIAND,49.04307788,3.3922319,0,Europe/Paris,0
STA-ESMCENT1,ESMCENT1,ESMCENTRE1,49.03430994,3.41819487,0,Europe/Paris,0
STA-NOGROUE1,NOGROUE1,ROUESSES,49.01066814,3.3987067,0,Europe/Paris,0
STA-CTCHAMP1,CTCHAMP1,CHAMPAGNE,49.05463487,3.3857047,0,Europe/Paris,0
STA-CTJAURE1,CTJAURE1,J.JAURES,49.04557428,3.39400746,0,Europe/Paris,0
STA-CTLAUCO1,CTLAUCO1,LAUCONNOIS,49.06404285,3.3816951,0,Europe/Paris,0
STA-CTLHER2,CTLHER2,LHERMITE,49.05073892,3.40264387,0,Europe/Paris,0
STA-NELPREI1,NELPREI1,LE PREI,49.02163297,3.42137511,0,Europe/Paris,0
STA-BRACROI1,BRACROI1,CROIX VITARD,49.04542523,3.42022209,0,Europe/Paris,0
STA-CTBALL1,CTBALL1,BALLADE,49.0630253,3.38790744,0,Europe/Paris,0
STA-CTBLANC2,CTBLANC2,BOIS BLANCHARD,49.06080561,3.39464732,0,Europe/Paris,0
STA-CTLOUV2,CTLOUV2,LOUVETS,49.05238107,3.38820687,0,Europe/Paris,0
STA-MNXMON1,MNXMON1,MONNEAUX,49.0389207,3.35078918,0,Europe/Paris,0
STA-BSGMAIR1,BSGMAIR1,MAIRIE BEZU,49.10809893,3.40882668,0,Europe/Paris,0
STA-CHRMOUL1,CHRMOUL1,LE MOULIN CHIERRY,49.03946,3.43415867,0,Europe/Paris,0
STA-CHRSABL1,CHRSABL1,LES SABLONS,49.03788504,3.42746796,0,Europe/Paris,0
STA-CTFOND1,CTFOND1,FONDERIE,49.05686922,3.39514945,0,Europe/Paris,0
STA-CTSTAD1,CTSTAD1,STADE DE CHATEAU THIERRY,49.03356955,3.40716753,0,Europe/Paris,0
STA-CTCEU1,CTCEU1,CARREFOUR DE L EUROPE (navette 1),49.03421261,3.39155607,0,Europe/Paris,0
STA-CTLAFON3,CTLAFON3,LA FONTAINE,49.04419158,3.40176674,0,Europe/Paris,0
STA-CTPJDPAU,CTPJDPAU,PLACE DU JEU DE PAUME,49.04542456,3.40614418,0,Europe/Paris,0
STA-CTSTAD2,CTSTAD2,STADE DE CHATEAU THIERRY,49.03389163,3.40716661,0,Europe/Paris,0
STA-CTLABR2,CTLABR2,LA BARRE,49.04970532,3.40649675,0,Europe/Paris,0
STA-ESSFOUR2,ESSFOUR2,FOURRIER,49.0298461,3.3665137,0,Europe/Paris,0
STA-BSGBEZT1,BSGBEZT1,BEZUET,49.08730361,3.3975313,0,Europe/Paris,0
STA-NELNOUV1,NELNOUV1,NESLES NOUVEAU,49.0251191,3.4112002,0,Europe/Paris,0
STA-NELPEB1,NELPEB1,PETIT BALLOIS,49.01203497,3.44440124,0,Europe/Paris,0
STA-CTBELV1,CTBELV1,BELLEVUE,49.0510992,3.40938875,0,Europe/Paris,0
STA-CTAVEU2,CTAVEU2,AV. DE L EUROPE,49.03811529,3.40156027,0,Europe/Paris,0
STA-CTCHES2,CTCHES2,CHESNEAUX,49.05275845,3.39699622,0,Europe/Paris,0
STA-CTDOUM3,CTDOUM3,PDOUMER 3,49.04052051,3.40471942,0,Europe/Paris,0
STA-CTCITE2,CTCITE2,PARC CITELIUM,49.06453182,3.39118724,0,Europe/Paris,0
STA-CTLALEX1,CTLALEX1,L'ALEXANDRIN,49.0622329,3.38403894,0,Europe/Paris,0
STA-ESSMONT2,ESSMONT2,PETIT MONTCOURT,49.02839142,3.3604551,0,Europe/Paris,0
STA-CTCHAMP2,CTCHAMP2,CHAMPAGNE,49.05451466,3.38577917,0,Europe/Paris,0
STA-CTBELV2,CTBELV2,BELLEVUE,49.05109841,3.4094101,0,Europe/Paris,0
STA-CTLABR1,CTLABR1,LA BARRE,49.04979494,3.40646192,0,Europe/Paris,0
STA-CTPBAR2,CTPBAR2,PRE DES BARRES,49.08210264,3.39380209,0,Europe/Paris,0
STA-CTPOSTE1,CTPOSTE1,POSTE,49.04411873,3.39947943,0,Europe/Paris,0
STA-CTESATB,CTESATB,ESAT BLANCHISSERIE,49.08294576,3.3949261,0,Europe/Paris,0
STA-CTCATI1,CTCATI1,CATILLON,49.04805707,3.3814941,0,Europe/Paris,0
STA-CTRACIN2,CTRACIN2,RACINE,49.04681341,3.39865582,0,Europe/Paris,0
STA-NOGMARI1,NOGMARI1,MARINIER,49.02393994,3.40803188,0,Europe/Paris,0
STA-CTOTMUS1,CTOTMUS1,OTMUS,49.0482327,3.38938869,0,Europe/Paris,0
STA-CTCOMTE2,CTCOMTE2,COMTESSES,49.04955011,3.38729073,0,Europe/Paris,0
STA-BLMMAIR1,BLMMAIR1,MAIRIE BLESMES,49.03771877,3.44879649,0,Europe/Paris,0
STA-CTCOMTE1,CTCOMTE1,COMTESSES,49.0494861,3.38750981,0,Europe/Paris,0
STA-CTFERE1,CTFERE1,RUE DE FERE,49.04794369,3.400867,0,Europe/Paris,0
STA-CTMOUL1,CTMOUL1,J.MOULIN/P&MCURRY,49.04346857,3.39694281,0,Europe/Paris,0
STA-CTCEU2,CTCEU2,CARREFOUR DE L EUROPE (navette 2),49.03451401,3.39155954,0,Europe/Paris,0
STA-CTMART2,CTMART2,PATIS ST MARTIN,49.0434943,3.38716714,0,Europe/Paris,0
STA-CTHORL2,CTHORL2,HORLOGE,49.06174422,3.39211351,0,Europe/Paris,0
STA-ETMNEST2,ETMNEST2,NENUPHARS,49.03129752,3.40812759,0,Europe/Paris,0
